21:18:28.490958 config: drop-rate=0.30, max-delay=1s, seed=1
21:18:28.491922 router is listening at :3000
21:18:50.272958 [queue=1] packet #0, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delayed for 870ms
21:18:51.146822 [queue=0] packet #0, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delivered
21:18:53.281175 [queue=1] packet #0, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delayed for 590ms
21:18:53.873146 [queue=0] packet #0, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delivered
21:18:56.295366 [queue=1] packet #0, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delayed for 180ms
21:18:56.477072 [queue=0] packet #0, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delivered
21:18:56.955480 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=0 is dropped
21:18:56.955697 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=0 is dropped
21:18:56.955723 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=0 is dropped
21:18:59.301711 [queue=1] packet #0, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delayed for 940ms
21:18:59.958562 [queue=2] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=0 is delayed for 620ms
21:19:00.242499 [queue=1] packet #0, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delivered
21:19:00.243337 [queue=2] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=0 is delayed for 280ms
21:19:00.525007 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=0 is delivered
21:19:00.527670 [queue=2] packet #0, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delayed for 110ms
21:19:00.530715 [queue=2] packet #1, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=40 is dropped
21:19:00.530906 [queue=3] packet #2, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=29 is delayed for 60ms
21:19:00.579866 [queue=2] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=0 is delivered
21:19:00.591858 [queue=1] packet #2, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=29 is delivered
21:19:00.638877 [queue=0] packet #0, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delivered
21:19:03.611071 [queue=0] packet #1, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=40 is dropped
21:19:03.611113 [queue=1] packet #2, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=29 is delayed for 280ms
21:19:03.892272 [queue=0] packet #2, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=29 is delivered
21:19:03.892514 [queue=1] packet #2, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=0 is delayed for 470ms
21:19:04.363671 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=0 is delivered
21:19:07.377716 [queue=0] packet #1, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=40 is dropped
21:19:10.385020 [queue=1] packet #1, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=40 is delayed for 880ms
21:19:11.266340 [queue=0] packet #1, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=40 is delivered
21:19:11.266903 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=0 is delayed for 150ms
21:19:11.418035 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=0 is delivered
21:19:11.424608 [queue=1] packet #0, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delayed for 80ms
21:19:11.505791 [queue=0] packet #0, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delivered
21:19:11.506111 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=0 is dropped
21:19:16.428243 [queue=1] packet #0, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delayed for 290ms
21:19:16.507842 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=0 is dropped
21:19:16.722377 [queue=0] packet #0, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delivered
21:19:16.722845 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=0 is delayed for 310ms
21:19:17.033753 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=0 is delivered
21:19:17.034522 [queue=1] packet #0, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delayed for 260ms
21:19:17.295170 [queue=0] packet #0, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delivered
21:19:17.298578 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=40 is dropped
21:19:17.298661 [queue=1] packet #2, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=40 is delayed for 940ms
21:19:17.298705 [queue=1] packet #3, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=40 is dropped
21:19:18.239148 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=40 is delivered
21:19:18.239857 [queue=1] packet #2, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delayed for 470ms
21:19:18.711055 [queue=0] packet #2, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delivered
21:19:21.725140 [queue=0] packet #3, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=40 is dropped
21:19:21.725172 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=40 is dropped
21:19:24.732517 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=40 is delayed for 530ms
21:19:24.732545 [queue=2] packet #3, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=40 is delayed for 210ms
21:19:24.943669 [queue=1] packet #3, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=40 is delivered
21:19:24.943920 [queue=2] packet #3, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delayed for 990ms
21:19:25.263744 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:65441, sz=40 is delivered
21:19:25.264274 [queue=2] packet #1, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delayed for 50ms
21:19:25.315393 [queue=1] packet #1, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delivered
21:19:25.935480 [queue=0] packet #3, 127.0.0.1:65441 -> 127.0.0.1:8007, sz=0 is delivered
21:21:03.681171 config: drop-rate=0.30, max-delay=1s, seed=1
21:21:03.681534 router is listening at :3000
21:21:11.416785 [queue=1] packet #0, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is delayed for 870ms
21:21:12.288906 [queue=0] packet #0, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is delivered
21:21:12.290865 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=0 is delayed for 590ms
21:21:12.882651 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=0 is delivered
21:21:12.887833 [queue=1] packet #0, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is delayed for 180ms
